mdb_source_id,data_type,entity_type,location.country_code,location.subdivision_name,location.municipality,provider,name,note,static_reference,urls.direct_download,urls.authentication_type,urls.authentication_info,urls.api_key_parameter_name,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,status,features
51,gtfs,,US,California,San Francisco,Mission Bay Transportation Management Association (TMA),,,,http://data.trilliumtransit.com/gtfs/missionbaytma-ca-us/missionbaytma-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-mission-bay-transportation-management-association-tma-gtfs-51.zip?alt=media,,37.766910305944,37.7919901456108,-122.41602803586,-122.38623989798,2022-03-14T20:08:46+00:00,,fares-v2|fares-v1
52,gtfs,,US,California,San Francisco,Tideline Water Taxi,,,,http://trilliumtransit.com/transit_feeds/tidelinewatertaxi-ca-us/tidelinewatertaxi-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-tideline-water-taxi-gtfs-52.zip?alt=media,,37.7708398,37.913659,-122.3950251,-122.31393184362,2022-03-14T20:08:47+00:00,,
53,gtfs,,US,California,San Francisco,Bay Area Rapid Transit (BART),,,,http://www.bart.gov/dev/schedules/google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-bay-area-rapid-transit-bart-gtfs-53.zip?alt=media,http://www.bart.gov/schedules/developers/developer-license-agreement,37.368473,38.01891,-122.468908,-121.780346,2022-03-14T20:08:49+00:00,,fares-v1
54,gtfs,,US,California,San Francisco,Caltrain,,,,http://data.trilliumtransit.com/gtfs/caltrain-ca-us/caltrain-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-caltrain-gtfs-54.zip?alt=media,,37.003485,37.776404,-122.411709050687,-121.566088,2022-03-14T20:08:51+00:00,,fares-v1
57,gtfs,,US,California,San Jose,Santa Clara Valley Transportation Authority (VTA),,,,https://gtfs.vta.org/gtfs_vta.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-santa-clara-valley-transportation-authority-vta-gtfs-57.zip?alt=media,,36.974922,37.458086,-122.173639,-121.549029,2022-03-14T20:09:03+00:00,,fares-v1
59,gtfs,,US,California,Stanford,Stanford Marguerite Shuttle (SMS),,,,https://transportation-forms.stanford.edu/google/google_transit.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-stanford-marguerite-shuttle-sms-gtfs-59.zip?alt=media,,37.39404,37.589874,-122.23088832,-121.975618,2022-03-14T20:09:08+00:00,,fares-v1
61,gtfs,,US,California,San Mateo,Commute.org San Mateo County Shuttles,,,,http://data.trilliumtransit.com/gtfs/commute-ca-us/commute-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-commuteorg-san-mateo-county-shuttles-gtfs-61.zip?alt=media,,37.423779,37.7211495911134,-122.469273263981,-122.142022,2022-03-14T20:09:16+00:00,,fares-v1
64,gtfs,,US,California,Livermore,Livermore Amador Valley Transit Authority,,,,http://webwatch.lavta.org/TMGTFSRealTimeWebService/GTFS-Static/google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-livermore-amador-valley-transit-authority-gtfs-64.zip?alt=media,,37.631448,37.732502,-121.98229,-121.717493,2022-03-14T20:09:22+00:00,,fares-v1
67,gtfs,,US,California,San Francisco,Golden Gate Transit,,,,https://realtime.goldengate.org/gtfsstatic/GTFSTransitData.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-golden-gate-transit-gtfs-67.zip?alt=media,,37.777609,38.472081,-122.740448,-122.26649,2022-03-14T20:10:29+00:00,,
70,gtfs,,US,California,Santa Rosa,Sonoma County Transit (SCT),,,,http://data.trilliumtransit.com/gtfs/sonomacounty-ca-us/sonomacounty-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-sonoma-county-transit-sct-gtfs-70.zip?alt=media,,37.97116752,38.8123488647763,-123.1264984029,-122.4580372,2022-03-14T20:10:42+00:00,,fares-v1
74,gtfs,,US,California,Oakland,Capitol Corridor Joint Powers Authority (Capitol Corridor),,,,https://www.capitolcorridor.org/googletransit/GTFS.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-capitol-corridor-joint-powers-authority-capitol-corridor-gtfs-74.zip?alt=media,https://www.capitolcorridor.org/developer_resources/#terms,37.329935,39.099809,-122.410306,-120.952693,2022-03-14T20:10:56+00:00,,fares-v1
76,gtfs,,US,California,Fairfield,Fairfield and Suisun Transit (FAST Transit),,,,http://data.trilliumtransit.com/gtfs/fairfield-ca-us/fairfield-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-fairfield-and-suisun-transit-fast-transit-gtfs-76.zip?alt=media,,37.9054783569681,38.584657,-122.317048,-121.496009650077,2022-03-14T20:11:03+00:00,,fares-v1
78,gtfs,,US,California,Pinole,WestCAT,,,,http://data.trilliumtransit.com/gtfs/westcat-ca-us/westcat-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-westcat-gtfs-78.zip?alt=media,,37.788966,38.05572,-122.397233,-122.11445,2022-03-14T20:11:14+00:00,,fares-v1
80,gtfs,,US,California,Fairfield,SolTrans,,,,https://soltrans.connexionz.net/rtt/public/resource/gtfs.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-soltrans-gtfs-80.zip?alt=media,,37.796315,38.249206,-122.394709,-122.041606,2022-07-26T16:09:01+00:00,,fares-v1
628,gtfs,,US,California,,Union City Transit,,,,https://data.trilliumtransit.com/gtfs/unioncity-ca-us/unioncity-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-union-city-transit-gtfs-628.zip?alt=media,,37.567764,37.612185,-122.082768,-122.002866,2022-03-16T20:11:22+00:00,,
1178,gtfs,,US,California,San Francisco,Blue & Gold Fleet,,,,https://transitfeeds.com/p/blue-gold-fleet/824/latest/download,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-blue-gold-fleet-gtfs-1178.zip?alt=media,,37.662676,38.10127,-122.41209,-122.25692,2022-03-23T18:45:07+00:00,,
1288,gtfs,,US,California,Napa,VINE Transit,,,,https://data.trilliumtransit.com/gtfs/vinetransit-ca-us/vinetransit-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-vine-transit-gtfs-1288.zip?alt=media,https://vinetransit.com/open-data-portal/,37.925323,38.583539,-122.579754889011,-122.041518688202,2022-05-23T16:46:03+00:00,,
2224,gtfs,,US,California,Emeryville,Emery Go-Round,,,,https://emerygoround.com/data/emerygoround-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-emery-go-round-gtfs-2224.zip?alt=media,,37.829424,37.852317,-122.313403,-122.266983,2024-11-26T19:53:24+00:00,,
2421,gtfs,,US,California,,County Connection (CCCTA),,,,https://countyconnection.com/GTFS/google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-county-connection-gtfs-2421.zip?alt=media,,,,,,,,
2455,gtfs,,US,California,Oakland,Alameda-Contra Costa Transit District (AC Transit),,,,https://api.actransit.org/transit/gtfs/download,1,https://api.actransit.org/transit,token,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-alameda-contra-costa-transit-district-ac-transit-gtfs-2455.zip?alt=media,https://www.actransit.org/data-terms-and-conditions/,37.409768,38.017813,-122.421947,-121.886829,2022-03-23T23:19:13+00:00,,
2880,gtfs,,US,California,Mountain View,Mountain View Transportation Management Association (MVgo),,,,https://gtfs.mvgo.org/gtfs.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-mountain-view-transportation-management-association-mvgo-gtfs-2880.zip?alt=media,https://mvgo.org/developers/,37.387655512462,37.4314288965063,-122.111623478335,-122.047760594783,2024-05-14T17:15:22+00:00,,
2886,gtfs,,US,California,San Francisco,San Francisco Municipal Transportation Agency (SFMTA - Muni),,,,https://muni-gtfs.apps.sfmta.com/data/muni_gtfs-current.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-san-francisco-municipal-transportation-agency-sfmta-gtfs-2886.zip?alt=media,https://www.sfmta.com/reports/gtfs-transit-data,,,,,,,
2937,gtfs,,US,California,San Francisco,Marin Transit,,,,https://marintransit.gov/data/google_transit.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-marin-transit-gtfs-2937.zip?alt=media,,,,,,,,fares-v1
2948,gtfs,,US,California,Santa Rosa,Santa Rosa CityBus,,,,http://api.511.org/transit/datafeeds?operator_id=SR,1,https://511.org/open-data/token,api_key,https://data.trilliumtransit.com/gtfs/santarosa-ca-us/santarosa-ca-us.zip,https://511.org/sites/default/files/pdfs/511_Data_Agreement_Final.pdf,,,,,,,
3143,gtfs,,US,California,San Francisco,San Francisco Bay Area Water Emergency Transportation Authority (WETA),,,,https://gtfs.sanfranciscobayferry.com/gtfs.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-san-francisco-bay-area-water-emergency-transportation-authority-gtfs-3143.zip?alt=media,https://opendatacommons.org/licenses/by/summary/,37.662676,38.10127,-122.41209,-122.25692,2026-05-12T20:09:17+00:00,,fares-v1|pathways
3222,gtfs,,US,California,Santa Rosa,Sonoma Marin Area Rail Transit (SMART),,,,http://api.511.org/transit/datafeeds?operator_id=SA,1,https://511.org/open-data/token,api_key,https://data.trilliumtransit.com/gtfs/smart-ca-us/smart-ca-us.zip,https://511.org/sites/default/files/pdfs/511_Data_Agreement_Final.pdf,37.94781,38.5098222070014,-122.784085789652,-122.51248,2022-03-17T15:22:11+00:00,,
